timestamp,coin,signal,direction,slope
1769869523.100532,BTC/USD,WAIT,neutral,0.0001
1769869523.100532,ETH/USD,GO,buy,0.005
1769869523.100532,SOL/USD,STOP,sell,-0.002
1769869523.100532,SUI/USD,WAIT,neutral,0.0
1769869553.108242,BTC/USD,WAIT,neutral,0.0001
1769869553.108242,ETH/USD,GO,buy,0.005
1769869553.108242,SOL/USD,STOP,sell,-0.002
1769869553.108242,SUI/USD,WAIT,neutral,0.0
1769869583.1151638,BTC/USD,WAIT,neutral,0.0001
1769869583.1151638,ETH/USD,GO,buy,0.005
1769869583.1151638,SOL/USD,STOP,sell,-0.002
1769869583.1151638,SUI/USD,WAIT,neutral,0.0
1769869613.125151,BTC/USD,WAIT,neutral,0.0001
1769869613.125151,ETH/USD,GO,buy,0.005
1769869613.125151,SOL/USD,STOP,sell,-0.002
1769869613.125151,SUI/USD,WAIT,neutral,0.0
1769869643.128563,BTC/USD,WAIT,neutral,0.0001
1769869643.128563,ETH/USD,GO,buy,0.005
1769869643.128563,SOL/USD,STOP,sell,-0.002
1769869643.128563,SUI/USD,WAIT,neutral,0.0
1769869673.1313229,BTC/USD,WAIT,neutral,0.0001
1769869673.1313229,ETH/USD,GO,buy,0.005
1769869673.1313229,SOL/USD,STOP,sell,-0.002
1769869673.1313229,SUI/USD,WAIT,neutral,0.0
1769869703.138408,BTC/USD,WAIT,neutral,0.0001
1769869703.138408,ETH/USD,GO,buy,0.005
1769869703.138408,SOL/USD,STOP,sell,-0.002
1769869703.138408,SUI/USD,WAIT,neutral,0.0
1769869733.143104,BTC/USD,WAIT,neutral,0.0001
1769869733.143104,ETH/USD,GO,buy,0.005
1769869733.143104,SOL/USD,STOP,sell,-0.002
1769869733.143104,SUI/USD,WAIT,neutral,0.0
1769869763.147739,BTC/USD,WAIT,neutral,0.0001
1769869763.147739,ETH/USD,GO,buy,0.005
1769869763.147739,SOL/USD,STOP,sell,-0.002
1769869763.147739,SUI/USD,WAIT,neutral,0.0
1769869793.15419,BTC/USD,WAIT,neutral,0.0001
1769869793.15419,ETH/USD,GO,buy,0.005
1769869793.15419,SOL/USD,STOP,sell,-0.002
1769869793.15419,SUI/USD,WAIT,neutral,0.0
1769869823.16062,BTC/USD,WAIT,neutral,0.0001
1769869823.16062,ETH/USD,GO,buy,0.005
1769869823.16062,SOL/USD,STOP,sell,-0.002
1769869823.16062,SUI/USD,WAIT,neutral,0.0
1769869853.1678689,BTC/USD,WAIT,neutral,0.0001
1769869853.1678689,ETH/USD,GO,buy,0.005
1769869853.1678689,SOL/USD,STOP,sell,-0.002
1769869853.1678689,SUI/USD,WAIT,neutral,0.0
1769869883.173954,BTC/USD,WAIT,neutral,0.0001
1769869883.173954,ETH/USD,GO,buy,0.005
1769869883.173954,SOL/USD,STOP,sell,-0.002
1769869883.173954,SUI/USD,WAIT,neutral,0.0
1769869913.17616,BTC/USD,WAIT,neutral,0.0001
1769869913.17616,ETH/USD,GO,buy,0.005
1769869913.17616,SOL/USD,STOP,sell,-0.002
1769869913.17616,SUI/USD,WAIT,neutral,0.0
1769869943.182493,BTC/USD,WAIT,neutral,0.0001
1769869943.182493,ETH/USD,GO,buy,0.005
1769869943.182493,SOL/USD,STOP,sell,-0.002
1769869943.182493,SUI/USD,WAIT,neutral,0.0
1769869973.190191,BTC/USD,WAIT,neutral,0.0001
1769869973.190191,ETH/USD,GO,buy,0.005
1769869973.190191,SOL/USD,STOP,sell,-0.002
1769869973.190191,SUI/USD,WAIT,neutral,0.0
1769870003.1982841,BTC/USD,WAIT,neutral,0.0001
1769870003.1982841,ETH/USD,GO,buy,0.005
1769870003.1982841,SOL/USD,STOP,sell,-0.002
1769870003.1982841,SUI/USD,WAIT,neutral,0.0
1769870033.209557,BTC/USD,WAIT,neutral,0.0001
1769870033.209557,ETH/USD,GO,buy,0.005
1769870033.209557,SOL/USD,STOP,sell,-0.002
1769870033.209557,SUI/USD,WAIT,neutral,0.0
1769870063.2183669,BTC/USD,WAIT,neutral,0.0001
1769870063.2183669,ETH/USD,GO,buy,0.005
1769870063.2183669,SOL/USD,STOP,sell,-0.002
1769870063.2183669,SUI/USD,WAIT,neutral,0.0
1769870093.225045,BTC/USD,WAIT,neutral,0.0001
1769870093.225045,ETH/USD,GO,buy,0.005
1769870093.225045,SOL/USD,STOP,sell,-0.002
1769870093.225045,SUI/USD,WAIT,neutral,0.0
1769870123.236041,BTC/USD,WAIT,neutral,0.0001
1769870123.236041,ETH/USD,GO,buy,0.005
1769870123.236041,SOL/USD,STOP,sell,-0.002
1769870123.236041,SUI/USD,WAIT,neutral,0.0
1769870153.246598,BTC/USD,WAIT,neutral,0.0001
